TERM,SubCategory,2025,2026,Total_2025_2026
lysophospholipid level,Inflammation & Immunity,1,0,1
m1-type macrophage markers,Inflammation & Immunity,0,1,1
macrophage polarization,Inflammation & Immunity,0,2,2
macrophage-mediated inflammatory responses,Inflammation & Immunity,0,1,1
macrophage-mediated mechanism,Inflammation & Immunity,1,0,1
macrophages,Inflammation & Immunity,1,0,1
major adverse cardiovascular event,Autonomic & Cardiovascular,1,0,1
major histocompatibility,Inflammation & Immunity,1,0,1
male mice,Animal Models,1,0,1
male sprague-dawley albino,Animal Models,1,0,1
male vpa-exposed mice,Animal Models,1,0,1
mapk pathway,Inflammation & Immunity,0,1,1
mature oligodendrocytes,Inflammation & Immunity,0,1,1
maximal cardiopulmonary exercise testing,Autonomic & Cardiovascular,1,0,1
mcao mice,Animal Models,1,0,1
mcp-1 il-18 mip-1 alpha,Inflammation & Immunity,1,0,1
mean arterial pressure,Autonomic & Cardiovascular,0,1,1
measurable autonomic responses,Autonomic & Cardiovascular,1,0,1
measuring cholinergic neurotransmission,Inflammation & Immunity,1,0,1
measuring salivary alpha-amylase,Inflammation & Immunity,0,1,1
mechanistic biomarkers,Inflammation & Immunity,0,1,1
mediated heart rate variability,Autonomic & Cardiovascular,1,0,1
mediating neuroinflammatory responses,Inflammation & Immunity,1,0,1
mental stress,Autonomic & Cardiovascular,0,1,1
mental stressor,Autonomic & Cardiovascular,1,0,1
merged single-cell rna,Inflammation & Immunity,1,0,1
metabolic diseases,Inflammation & Immunity,1,0,1
metabolic efficacy,Inflammation & Immunity,0,1,1
metabolic indices,Inflammation & Immunity,0,1,1
metabolic profiles,Inflammation & Immunity,1,1,2
metabolomics,Inflammation & Immunity,1,0,1
metagenomic profiling,Inflammation & Immunity,0,1,1
methodsa rat model,Animal Models,1,0,1
methodshigh-fat diet-induced obese rats,Inflammation & Immunity,0,1,1
methodssprague-dawley rats,Animal Models,0,1,1
methyllycaconitine pretreatment,Inflammation & Immunity,0,1,1
microglial-mediated neuroinflammation,Inflammation & Immunity,0,1,1
microneedle-based neuromodulation,Cognitive Function,0,1,1
middle cerebral arteries,Stroke & Brain Injury,1,0,1
mild tachypnea,Autonomic & Cardiovascular,0,1,1
mild traumatic brain injury,Stroke & Brain Injury,1,0,1
mitigating acute stress-induced arousal,Autonomic & Cardiovascular,1,0,1
mitigating acute stress-induced cardiovascular arousal,Autonomic & Cardiovascular,1,0,1
mitigating stress,Autonomic & Cardiovascular,0,1,1
mitogen-activated protein kinase,Inflammation & Immunity,0,1,1
mlck pathway,Inflammation & Immunity,1,0,1
model mice,Animal Models,0,1,1
modulating autonomic function,Autonomic & Cardiovascular,2,0,2
modulating autonomic nervous function,Autonomic & Cardiovascular,0,1,1
modulating autonomic responses,Autonomic & Cardiovascular,1,0,1
modulating microglial activation,Inflammation & Immunity,1,0,1
modulating neuroimmune function,Inflammation & Immunity,0,1,1
modulating neuroplasticity,Stroke & Brain Injury,0,1,1
modulating neurotransmitter release,Cognitive Function,1,0,1
modulating peripheral-central inflammatory cytokines,Inflammation & Immunity,1,0,1
molecular analysis,Inflammation & Immunity,1,1,2
morning salivary cortisol level,Inflammation & Immunity,1,0,1
mouse plasma,Animal Models,1,0,1
multi-pathway synergistic mechanism,Inflammation & Immunity,1,0,1
multimodal hepatoprotective strategy,Inflammation & Immunity,1,0,1
multiple cytokines-including,Inflammation & Immunity,0,1,1
muscarinic acetylcholine receptor,Inflammation & Immunity,1,0,1
muscarinic acetylcholine receptor activation,Inflammation & Immunity,1,0,1
muscarinic acetylcholine receptor antagonists,Inflammation & Immunity,1,0,1
muscarinic agonist-antagonist treatment,Inflammation & Immunity,0,1,1
myocardial damage,Autonomic & Cardiovascular,1,0,1
myocardial hypertrophy,Autonomic & Cardiovascular,1,0,1
myocardial infarct size,Autonomic & Cardiovascular,0,1,1
myocardial infarction,Autonomic & Cardiovascular,4,1,5
myocardial infarction-induced heart-brain remodeling,Autonomic & Cardiovascular,1,0,1
myocardial infarctions,Autonomic & Cardiovascular,0,1,1
myocardial injury,Autonomic & Cardiovascular,0,1,1
myocardial remodeling,Autonomic & Cardiovascular,0,1,1
nac microglia,Inflammation & Immunity,1,0,1
natriuretic peptide,Inflammation & Immunity,1,0,1
nesfatin-1,Inflammation & Immunity,0,1,1
nesfatin-1 crf,Inflammation & Immunity,0,1,1
neural injury,Stroke & Brain Injury,0,1,1
neural repair,Stroke & Brain Injury,0,1,1
neurexin-2 alpha,Inflammation & Immunity,2,0,2
neuro-and systemic immunomodulation,Inflammation & Immunity,1,0,1
neuro-inflammatory mediators,Inflammation & Immunity,1,0,1
neuroimmune function,Inflammation & Immunity,0,1,1
neuroimmune model,Inflammation & Immunity,0,1,1
neuroimmune pathway,Inflammation & Immunity,1,0,1
neuroimmune regulation,Inflammation & Immunity,0,1,1
neuroimmune regulatory network,Inflammation & Immunity,0,1,1
neuroinflammation level,Inflammation & Immunity,1,0,1
neuroinflammatory diseases,Inflammation & Immunity,0,1,1
neuroinflammatory response,Inflammation & Immunity,1,0,1
neuroligin-1,Inflammation & Immunity,1,0,1
neuromodulation effectiveness,Cognitive Function,1,0,1
neuromodulation study,Cognitive Function,0,1,1
neuromodulation technique,Cognitive Function,3,0,3
neuromodulation treatments,Cognitive Function,1,0,1
neuromodulation-based precision,Cognitive Function,1,0,1
neuromodulatory efficacy,Cognitive Function,0,1,1
neuromodulatory interventions,Cognitive Function,1,1,2
neuromodulatory mechanism,Cognitive Function,1,0,1
neuromodulatory system,Cognitive Function,1,0,1
neuropeptide y,Inflammation & Immunity,0,1,1
neuroplastic change,Stroke & Brain Injury,0,1,1
neurotransmitter expression,Cognitive Function,0,1,1
neurotrophic factor,Cognitive Function,1,0,1
neurotrophic factors,Cognitive Function,0,1,1
neurovisceral integration,Cognitive Function,1,0,1
neurovisceral integration framework,Cognitive Function,1,0,1
new neuromodulation technique,Cognitive Function,1,0,1
new pathway,Inflammation & Immunity,0,1,1
nf-kappa b activation,Inflammation & Immunity,0,1,1
ng-nitro arginine methyl ester,Inflammation & Immunity,1,0,1
nicotinic acetylcholine chloride receptor,Inflammation & Immunity,1,0,1
nlpr3 level,Inflammation & Immunity,1,0,1
nlrp3 level,Inflammation & Immunity,1,0,1
noise exposure,Animal Models,0,2,2
noise-exposed rat model,Animal Models,0,1,1
noise-exposed rats,Animal Models,0,1,1
non-activated glutamatergic neurons,Inflammation & Immunity,1,0,1
non-invasive neuromodulatory technique,Cognitive Function,0,1,1
non-invasive neurostimulation,Cognitive Function,1,0,1
non-invasive peripheral neuromodulation,Cognitive Function,1,0,1
non-invasive transcutaneous peripheral neuromodulation,Cognitive Function,1,0,1
noninvasive neuromodulation technique,Cognitive Function,1,2,3
noninvasive neuromodulatory strategy,Cognitive Function,0,1,1
noninvasive neuromodulatory technique,Cognitive Function,0,1,1
noradrenergic brain system,Inflammation & Immunity,1,0,1
noradrenergic neurotransmission,Inflammation & Immunity,1,0,1
noradrenergic release,Inflammation & Immunity,1,0,1
noradrenergic transmission,Inflammation & Immunity,1,0,1
normalizing weight,Inflammation & Immunity,0,1,1
nrf-2/ho-1 pathway,Inflammation & Immunity,0,1,1
o-glcnac modification,Inflammation & Immunity,1,0,1
o-glcnac modulation,Inflammation & Immunity,1,0,1
o-linked beta-n-acetylglucosamine (o-glcnac),Inflammation & Immunity,1,0,1
obesity mitigation,Inflammation & Immunity,0,1,1
objective biomarker,Inflammation & Immunity,1,0,1
objective biomarkers,Inflammation & Immunity,0,1,1
objective inflammation,Inflammation & Immunity,1,0,1
objective traumatic brain injury,Stroke & Brain Injury,0,1,1
off-pump coronary artery bypass,Autonomic & Cardiovascular,0,1,1
oliceridine fumarate,Inflammation & Immunity,1,0,1
oligodendrocyte,Inflammation & Immunity,1,0,1
oligodendrocyte precursor cells,Inflammation & Immunity,0,2,2
ongoing dss exposure,Animal Models,0,1,1
orexigenic peptide npy,Inflammation & Immunity,0,1,1
orexin level,Inflammation & Immunity,1,0,1
orexin-a,Inflammation & Immunity,1,0,1
orthostatic symptoms score,Autonomic & Cardiovascular,0,1,1
overlapping pathways,Inflammation & Immunity,1,0,1
oxidative stress level,Inflammation & Immunity,0,1,1
p-i kappa,Inflammation & Immunity,1,0,1
pain inflammation,Inflammation & Immunity,1,0,1
paroxysmal atrial fibrillation,Autonomic & Cardiovascular,2,0,2
paroxysmal atrial fibrillation patients,Autonomic & Cardiovascular,1,0,1
paroxysmal sympathetic hyperactivity,Autonomic & Cardiovascular,0,1,1
paroxysmal sympathetic hyperactivity syndrome,Autonomic & Cardiovascular,0,1,1
pathway agonist,Inflammation & Immunity,0,1,1
pathway inhibitor,Inflammation & Immunity,0,1,1
pbr28 signal,Inflammation & Immunity,1,0,1
peak oxygen consumption,Stroke & Brain Injury,1,0,1
percutaneous coronary intervention,Autonomic & Cardiovascular,1,0,1
peripheral inflammation bile acid,Inflammation & Immunity,1,0,1
peripheral neuromodulation,Cognitive Function,1,0,1
peripheral oxidative stress,Inflammation & Immunity,0,1,1
peripheral oxidative stress injury,Inflammation & Immunity,0,1,1
peripheral plasma,Inflammation & Immunity,0,1,1
peripheral plasma metabolites,Inflammation & Immunity,1,0,1
peripheral tissues,Stroke & Brain Injury,0,1,1
peripheral vasoconstriction,Stroke & Brain Injury,1,0,1
peripheral-central communication mechanism,Stroke & Brain Injury,0,1,1
peripheral-central inflammation network,Inflammation & Immunity,1,0,1
pet,Animal Models,1,0,1
pet ligands,Inflammation & Immunity,1,0,1
phosphorylated-janus kinase2,Inflammation & Immunity,1,0,1
phosphorylated-signal transducer,Inflammation & Immunity,1,0,1
photoplethysmography (ppg),Autonomic & Cardiovascular,1,1,2
physiological stress responses,Autonomic & Cardiovascular,1,0,1
pi3k-akt pathway modulation,Inflammation & Immunity,1,0,1
plasma metabolism mechanism,Inflammation & Immunity,1,0,1
plasma metabolites,Inflammation & Immunity,1,0,1
plasticity biomarkers,Inflammation & Immunity,0,1,1
platelet count,Stroke & Brain Injury,1,0,1
polar h10 cardiac sensor,Autonomic & Cardiovascular,1,0,1
positive cells,Inflammation & Immunity,1,0,1
possible glycemic effects,Inflammation & Immunity,1,0,1
post-ais inflammation,Inflammation & Immunity,1,0,1
post-noise exposure,Animal Models,0,1,1
post-traumatic cerebral oedema,Stroke & Brain Injury,0,1,1
post-traumatic stress disorder autism spectrum,Animal Models,1,0,1
post-traumatic stress disorder rats,Autonomic & Cardiovascular,0,1,1
postoperative liver function,Inflammation & Immunity,1,0,1
postoperative liver function dysfunction,Inflammation & Immunity,1,0,1
potent inflammatory cascade,Inflammation & Immunity,0,1,1
potent stressor,Autonomic & Cardiovascular,1,0,1
potential autonomic effects,Autonomic & Cardiovascular,0,1,1
potential central regulatory mechanism,Inflammation & Immunity,0,1,1
potential sensitivity efficacy biomarkers,Inflammation & Immunity,1,0,1
pre-existing brain tissue damage,Stroke & Brain Injury,0,1,1
precision neurostimulation,Cognitive Function,1,0,1
preclinical level,Inflammation & Immunity,1,0,1
predicting measurable central nervous system-autonomic nervous system,Autonomic & Cardiovascular,1,0,1
predictive biomarkers,Inflammation & Immunity,1,1,2
pregnant mice,Animal Models,1,0,1
preserving glycaemic control,Inflammation & Immunity,0,1,1
primary pathways,Inflammation & Immunity,1,0,1
primary percutaneous coronary intervention,Autonomic & Cardiovascular,0,1,1
primary surgical pathway,Inflammation & Immunity,1,0,1
prior exposure,Animal Models,1,0,1
pro-inflammatory cytokine production,Inflammation & Immunity,1,0,1
pro-inflammatory cytokine release,Inflammation & Immunity,1,0,1
pro-inflammatory microglial markers,Inflammation & Immunity,0,1,1
prolonged exposure,Animal Models,0,1,1
prolonged inflammation,Inflammation & Immunity,1,0,1
promising neuromodulation technique,Cognitive Function,1,1,2
promising neuromodulation therapy,Cognitive Function,1,0,1
promising neuromodulatory approach,Cognitive Function,0,2,2
promising non-invasive neuromodulation approach,Cognitive Function,0,1,1
promoting bcaa metabolism,Inflammation & Immunity,1,0,1
promoting neuroplasticity,Stroke & Brain Injury,0,2,2
promoting noradrenergic activation,Inflammation & Immunity,1,0,1
promoting weight loss,Inflammation & Immunity,1,0,1
propranolol dosage,Inflammation & Immunity,0,1,1
proreparative igf1,Inflammation & Immunity,1,0,1
protein phosphatase,Inflammation & Immunity,1,0,1
psd rat model,Animal Models,0,1,1
ptsd animals,Autonomic & Cardiovascular,0,1,1
ptsd rats,Autonomic & Cardiovascular,0,1,1
ptsd-like male mice,Autonomic & Cardiovascular,1,0,1
pulse 40-60s,Autonomic & Cardiovascular,1,0,1
pulse blood pressure,Autonomic & Cardiovascular,1,0,1
pulse rate,Autonomic & Cardiovascular,0,1,1
pulse rate variability,Autonomic & Cardiovascular,1,0,1
pulse width combinations,Autonomic & Cardiovascular,2,0,2
r zuk,Animal Models,0,1,1
radiographic cerebral vasospasm severity,Stroke & Brain Injury,1,0,1
ras-associated protein-1,Inflammation & Immunity,0,1,1
rate variability quality,Autonomic & Cardiovascular,0,1,1
rebalanced cardiovascular autonomic control,Autonomic & Cardiovascular,0,1,1
receptor alk5,Inflammation & Immunity,0,1,1
receptor alpha 7nachr,Inflammation & Immunity,1,0,1
receptor involvement,Inflammation & Immunity,0,1,1
recommended blood pressure,Autonomic & Cardiovascular,0,1,1
recurrent myocardial infarction,Autonomic & Cardiovascular,1,0,1
reduced serum glutathione,Inflammation & Immunity,0,1,1
reducing arrhythmia susceptibility,Autonomic & Cardiovascular,0,1,1
reducing hepatic injury,Inflammation & Immunity,1,0,1
reducing injury,Stroke & Brain Injury,0,1,1
reducing o-glcnac level,Inflammation & Immunity,1,0,1
reducing pro-inflammatory markers,Inflammation & Immunity,1,0,1
reducing sympathetic activity,Autonomic & Cardiovascular,1,0,1
regarding autonomic measurement value,Autonomic & Cardiovascular,1,0,1
regarding relaxation,Autonomic & Cardiovascular,1,0,1
regulating bcaa metabolism,Inflammation & Immunity,1,0,1
regulating glutamatergic neurons,Inflammation & Immunity,1,0,1
regulating inflammation,Inflammation & Immunity,1,0,1
regulating macrophage polarization,Inflammation & Immunity,0,1,1
regulation,Inflammation & Immunity,1,0,1
regulatory mechanism,Inflammation & Immunity,1,1,2
related biomarkers,Inflammation & Immunity,0,1,1
relative sympathetic overactivation,Autonomic & Cardiovascular,1,0,1
relaxation value,Autonomic & Cardiovascular,1,0,1
relevant heart rate variability,Autonomic & Cardiovascular,1,0,1
relevant heart rate variability parameter,Autonomic & Cardiovascular,1,0,1
remote ischemic conditioning,Stroke & Brain Injury,0,2,2
remote non-lethal cardiovascular event,Autonomic & Cardiovascular,1,0,1
repeated exposure,Animal Models,1,0,1
reperfusion injuries,Stroke & Brain Injury,0,1,1
reperfusion surgery,Stroke & Brain Injury,1,0,1
representing heart rate,Autonomic & Cardiovascular,1,0,1
representing heart rate blood pressure,Autonomic & Cardiovascular,1,0,1
resting respiratory sinus arrhythmia,Autonomic & Cardiovascular,1,0,1
restoring dopamine beta-hydroxylase expression,Inflammation & Immunity,1,0,1
restoring mitogen-activated protein kinase,Inflammation & Immunity,0,1,1
resulting spongy polymer,Stroke & Brain Injury,0,1,1
reversing acute stress-induced memory deficits,Autonomic & Cardiovascular,1,0,1
reward-related phasic dopamine shifts,Inflammation & Immunity,1,0,1
rodents,Animal Models,1,0,1
rome iv criterion,Inflammation & Immunity,1,0,1
routine hematology liver,Inflammation & Immunity,0,1,1
rrna gene sequencing,Inflammation & Immunity,1,0,1
s1p level,Inflammation & Immunity,1,0,1
safe neuromodulation technique,Cognitive Function,1,0,1
salivary alpha-amylase (saa),Inflammation & Immunity,0,1,1
salivary alpha-amylase level,Inflammation & Immunity,0,2,2
salivary markers,Inflammation & Immunity,1,0,1
salivary sample,Inflammation & Immunity,0,1,1
scale-heart failure,Autonomic & Cardiovascular,1,0,1
scores heart rate variability,Autonomic & Cardiovascular,1,0,1
sd rats,Animal Models,1,0,1
secondary brain injury,Stroke & Brain Injury,0,1,1
secondary cerebral oedema,Stroke & Brain Injury,0,1,1
secondary oxidative stress,Inflammation & Immunity,0,1,1
selective regulation,Inflammation & Immunity,0,1,1
sensor-based biomarkers,Inflammation & Immunity,0,1,1
sequencing data,Inflammation & Immunity,1,0,1
serial blood,Stroke & Brain Injury,1,0,1
serial sample,Stroke & Brain Injury,1,0,1
serial vessel caliber measurements,Stroke & Brain Injury,1,0,1
serotonergic pathways,Inflammation & Immunity,1,0,1
serotonin pathway,Inflammation & Immunity,1,0,1
serotonin synthesis,Inflammation & Immunity,1,0,1
serum acetylcholine level,Inflammation & Immunity,0,1,1
serum acetylcholinesterase,Inflammation & Immunity,1,0,1
serum ach,Inflammation & Immunity,1,0,1
serum analysis,Inflammation & Immunity,1,0,1
serum bdnf level,Inflammation & Immunity,1,0,1
serum biomarker level,Inflammation & Immunity,0,1,1
serum biomarkers,Inflammation & Immunity,1,0,1
serum level,Inflammation & Immunity,1,0,1
severe brain injury,Stroke & Brain Injury,1,0,1
severe cardiac arrhythmias,Autonomic & Cardiovascular,1,0,1
showing impaired cerebrospinal fluid,Stroke & Brain Injury,1,0,1
signal pathway,Inflammation & Immunity,1,0,1
signaling activity,Inflammation & Immunity,0,1,1
signaling cascade,Inflammation & Immunity,0,2,2
signaling pathway-related proteins,Inflammation & Immunity,1,0,1
signaling pathways,Inflammation & Immunity,1,1,2
significant bp change,Autonomic & Cardiovascular,0,1,1
single prolonged stress,Autonomic & Cardiovascular,0,1,1
single-cell rna sequencing,Inflammation & Immunity,1,0,1
sinoatrial node,Autonomic & Cardiovascular,0,1,1
sinus rhythm,Autonomic & Cardiovascular,1,0,1
slimming,Inflammation & Immunity,1,0,1
social stressor,Autonomic & Cardiovascular,1,0,1
sod level,Inflammation & Immunity,0,1,1
sodium valproate,Inflammation & Immunity,1,0,1
specific regulations,Inflammation & Immunity,1,0,1
sphingolipid metabolism,Inflammation & Immunity,2,0,2
sphingomyelin content,Inflammation & Immunity,1,0,1
sphingosine 1-phosphate receptor modulators,Inflammation & Immunity,1,0,1
sphingosine kinase inhibitor ski ii,Inflammation & Immunity,1,0,1
sphk inhibitor ski ii,Inflammation & Immunity,1,0,1
sphk-s1p,Inflammation & Immunity,1,0,1
sphk-s1p signaling axis,Inflammation & Immunity,1,0,1
sphk-s1p signaling pathway,Inflammation & Immunity,1,0,1
sphk2 mrna,Inflammation & Immunity,1,0,1
sphk2 mrna expression,Inflammation & Immunity,1,0,1
spinal excitability-was,Stroke & Brain Injury,0,1,1
spp1-expressing ccr2,Inflammation & Immunity,1,0,1
st-elevation myocardial infarction,Autonomic & Cardiovascular,1,0,1
stable symptomatic chronic heart failure,Autonomic & Cardiovascular,1,0,1
staining technique,Inflammation & Immunity,1,0,1
standardized in-vivo exposures,Animal Models,1,0,1
standardized neuromodulation protocol,Cognitive Function,0,1,1
stat3,Inflammation & Immunity,1,0,1
stat3 pathway,Inflammation & Immunity,1,1,2
stat3 pathway suppression,Inflammation & Immunity,0,1,1
stat3 signaling pathway,Inflammation & Immunity,0,1,1
stool sample acquisition,Stroke & Brain Injury,0,1,1
stress index parameter,Autonomic & Cardiovascular,1,0,1
stress regulation,Autonomic & Cardiovascular,0,1,1
stress scale,Autonomic & Cardiovascular,2,0,2
stress scale pulse,Autonomic & Cardiovascular,1,0,1
stress vulnerability,Autonomic & Cardiovascular,1,0,1
stress-induced cardiac disorder,Autonomic & Cardiovascular,0,1,1
stroke volume,Stroke & Brain Injury,1,0,1
stroke-heart syndrome,Stroke & Brain Injury,1,0,1
stroke-induced inflammatory process,Stroke & Brain Injury,0,1,1
stroke-specific quality,Stroke & Brain Injury,1,0,1
subsequent biochemical analysis,Inflammation & Immunity,1,0,1
substantial blood loss,Stroke & Brain Injury,1,0,1
suggesting pathways,Inflammation & Immunity,1,0,1
suggesting reduced sympathetic arousal,Autonomic & Cardiovascular,1,0,1
superoxide dismutase,Inflammation & Immunity,0,1,1
sustained blood pressure reduction,Autonomic & Cardiovascular,0,1,1
sympathetic dominance,Autonomic & Cardiovascular,1,0,1
sympathetic electrodermal activity,Autonomic & Cardiovascular,1,0,1
sympathetic hyperactivation,Autonomic & Cardiovascular,0,1,1
sympathetic nerve,Autonomic & Cardiovascular,0,1,1
sympathetic nerve fibers,Autonomic & Cardiovascular,0,1,1
sympathetic nerve system,Autonomic & Cardiovascular,0,1,1
sympathetic nervous activity,Autonomic & Cardiovascular,1,0,1
sympathetic nervous system activity,Autonomic & Cardiovascular,0,1,1
sympathetic nervous systems,Autonomic & Cardiovascular,0,1,1
sympathetic overactivation,Autonomic & Cardiovascular,0,1,1
sympathetic vasomotor control,Autonomic & Cardiovascular,0,1,1
sympathetic-parasympathetic balance,Autonomic & Cardiovascular,1,0,1
sympatho-vagal interaction,Autonomic & Cardiovascular,0,1,1
synaptic plasticity,Stroke & Brain Injury,1,2,3
systemic cytokine concentrations,Inflammation & Immunity,0,1,1
systemic oxidative stress,Inflammation & Immunity,0,1,1
systo-diastolic bps,Autonomic & Cardiovascular,0,1,1
systolic blood pressure coefficient,Autonomic & Cardiovascular,1,0,1
systolic blood pressure variability,Autonomic & Cardiovascular,1,1,2
systolic bp,Autonomic & Cardiovascular,0,2,2
t cells,Inflammation & Immunity,1,0,1
t-cell immunoglobulin,Inflammation & Immunity,1,0,1
tachypnea,Autonomic & Cardiovascular,0,1,1
tachypnea tachycardia hypertension,Autonomic & Cardiovascular,0,1,1
targeted biomarker analysis,Inflammation & Immunity,0,1,1
targeted neuromodulatory approach,Cognitive Function,0,1,1
targeting noninvasive neuromodulation,Cognitive Function,1,0,1
targeting stress-related cognitive disorders,Autonomic & Cardiovascular,1,0,1
tbi-induced dysregulation,Inflammation & Immunity,0,1,1
tension worry,Autonomic & Cardiovascular,0,1,1
tgf beta,Inflammation & Immunity,0,1,1
tgf beta r2,Inflammation & Immunity,0,1,1
time-varying cardiorespiratory rhythms,Autonomic & Cardiovascular,1,0,1
tnbs,Inflammation & Immunity,1,0,1
tnf- alpha il-6,Inflammation & Immunity,1,0,1
tnf-alpha,Inflammation & Immunity,0,1,1
tnf-alpha expression,Inflammation & Immunity,1,0,1
tnf-alpha showing dose-dependent m-csf suppression,Inflammation & Immunity,0,1,1
to-beat deceleration,Autonomic & Cardiovascular,1,0,1
toll-like receptor,Inflammation & Immunity,1,0,1
transcriptomic analysis,Inflammation & Immunity,0,2,2
transcriptomic response,Inflammation & Immunity,1,0,1
transcriptomic sequencing,Inflammation & Immunity,0,1,1
transcutaneous autonomic neuromodulation,Cognitive Function,0,1,1
transforming growth factor-,Inflammation & Immunity,1,0,1
transforming growth factor-(31,Inflammation & Immunity,1,0,1
transient ischemic attack,Stroke & Brain Injury,1,0,1
transporter protein,Inflammation & Immunity,1,0,1
transtympanic injection,Inflammation & Immunity,0,1,1
treating inflammation,Inflammation & Immunity,1,0,1
treating traumatic cerebral oedema,Stroke & Brain Injury,0,1,1
trinitrobenzene sulfonic acid,Inflammation & Immunity,1,0,1
tryptophan metabolism content,Inflammation & Immunity,1,0,1
tts rats,Animal Models,0,1,1
tts-like cardiomyopathy,Autonomic & Cardiovascular,0,1,1
tumor necrosis factor,Inflammation & Immunity,1,0,1
tumor necrosis factor-alpha interleukin,Inflammation & Immunity,0,1,1
tumor-induced inflammatory cytokines,Inflammation & Immunity,1,0,1
tumour necrosis factor,Inflammation & Immunity,1,0,1
tumour necrosis factor-alpha level,Inflammation & Immunity,0,1,1
tunel staining,Inflammation & Immunity,0,1,1
type 1 diabetes,Inflammation & Immunity,1,0,1
type 2 diabetes,Inflammation & Immunity,1,0,1
type 2 diabetes mellitus,Inflammation & Immunity,1,1,2
uc rats,Animal Models,0,1,1
unclear elevated level,Inflammation & Immunity,1,0,1
uncoupling protein,Inflammation & Immunity,1,0,1
undergoing off-pump coronary artery bypass,Autonomic & Cardiovascular,0,1,1
uterine perfusion pressure method,Autonomic & Cardiovascular,1,0,1
utilized capsaicin,Inflammation & Immunity,0,1,1
vagally-mediated heart rate variability,Autonomic & Cardiovascular,1,0,1
vagus biomarker,Inflammation & Immunity,0,1,1
validated biomarkers,Inflammation & Immunity,0,1,1
valproic acid,Inflammation & Immunity,1,0,1
variable autonomic responsiveness,Autonomic & Cardiovascular,0,1,1
various hepatic diseases,Inflammation & Immunity,1,0,1
various lipid indicators,Inflammation & Immunity,1,0,1
vascular disorders,Stroke & Brain Injury,1,0,1
vascular endothelial dysfunction,Stroke & Brain Injury,1,0,1
vascular proteomics,Stroke & Brain Injury,1,0,1
vdac1 signal pathway,Inflammation & Immunity,1,0,1
ve rats,Animal Models,1,0,1
venous blood sample,Stroke & Brain Injury,1,0,1
ventricular dysfunction,Autonomic & Cardiovascular,0,1,1
ventricular ejection fraction,Autonomic & Cardiovascular,2,1,3
ventricular electrical remodeling,Autonomic & Cardiovascular,0,1,1
ventricular hypertrophy,Autonomic & Cardiovascular,1,0,1
ventricular systolic function,Autonomic & Cardiovascular,0,1,1
vh rats,Animal Models,0,1,1
visceral fat area,Inflammation & Immunity,1,0,1
visualizing blood vessels,Stroke & Brain Injury,1,0,1
vitro raw264,Animal Models,0,1,1
vitro study,Animal Models,0,1,1
vma plasticity,Stroke & Brain Injury,0,1,1
vns-mediated plasticity,Stroke & Brain Injury,1,0,1
vpa autism model,Animal Models,1,0,1
vpa-induced adult autism model,Animal Models,1,0,1
vpa-induced mouse model,Animal Models,1,0,1
wearable neurotechnology,Cognitive Function,1,0,1
week-old mice,Animal Models,1,0,1
weight dai,Inflammation & Immunity,0,1,1
well-established regulator,Inflammation & Immunity,1,0,1
well-tolerated neuromodulation approach,Cognitive Function,1,0,1
western blotting elisa immunofluorescence,Inflammation & Immunity,0,1,1
wet weight,Inflammation & Immunity,1,0,1
zdc value,Animal Models,1,0,1
zo-1 indicating barrier disruption,Animal Models,0,1,1
